# This data was collected and compiled at the NASA/Ames Research Center, Moffett Field, CA.  Any use of this data should recognize the parent publication:

# D.M. Hudgins, S.A. Sandford, L.J. Allamandola, and A.G.G.M. Tielens, "Mid- and Far-Infrared Spectroscopy of Ices: Optical Constants and Integrated Absorbances", The Astrophysical Journal Supplement Series, 86, no. 2, p. 713-870, 1993

# Interstellar mix - 10 K - H2O:CH3OH:CO:NH3 = 100:50:1:1
# http://www.astrochem.org/data/ISMix.php

Freq.	%T,10K	n, 10K	k, 10K
#(cm-1)
494.78	95.036	1.5453	0.13168
495.74	94.994	1.5437	0.13275
496.71	94.951	1.5444	0.13360
497.67	94.909	1.5431	0.13464
498.64	94.850	1.5438	0.13593
499.60	94.808	1.5429	0.13692
500.56	94.766	1.5421	0.13790
501.53	94.707	1.5428	0.13918
502.49	94.665	1.5411	0.14024
503.46	94.622	1.5419	0.14107
504.42	94.580	1.5404	0.14211
505.39	94.521	1.5412	0.14337
506.35	94.479	1.5402	0.14435
507.31	94.420	1.5391	0.14581
508.28	94.378	1.5396	0.14663
509.24	94.336	1.5378	0.14769
510.21	94.293	1.5385	0.14851
511.17	94.251	1.5367	0.14957
512.14	94.209	1.5374	0.15036
513.10	94.166	1.5356	0.15145
514.07	94.124	1.5362	0.15223
515.03	94.082	1.5344	0.15330
516.00	94.040	1.5349	0.15409
516.96	94.014	1.5338	0.15463
517.92	93.955	1.5326	0.15608
518.89	93.929	1.5331	0.15643
519.85	93.887	1.5312	0.15751
520.82	93.861	1.5319	0.15783
521.78	93.818	1.5300	0.15892
522.75	93.793	1.5308	0.15921
523.71	93.734	1.5288	0.16073
524.68	93.708	1.5292	0.16109
525.64	93.682	1.5280	0.16164
526.60	93.656	1.5269	0.16218
527.57	93.614	1.5277	0.16291
528.53	93.571	1.5255	0.16403
529.50	93.562	1.5262	0.16389
530.46	93.535	1.5246	0.16451
531.43	93.468	1.5253	0.16592
532.39	93.450	1.5228	0.16640
533.36	93.490	1.5242	0.16486
534.32	93.380	1.5229	0.16765
535.29	93.321	1.5229	0.16892
536.25	93.353	1.5215	0.16794
537.21	93.293	1.5205	0.16935
538.18	93.284	1.5214	0.16917
539.14	93.199	1.5193	0.17139
540.11	93.182	1.5193	0.17153
541.07	93.196	1.5172	0.17112
542.04	93.145	1.5177	0.17210
543.00	93.185	1.5165	0.17089
543.96	93.167	1.5161	0.17111
544.93	93.108	1.5175	0.17219
545.89	93.048	1.5154	0.17373
546.86	93.038	1.5160	0.17361
547.82	92.979	1.5136	0.17516
548.79	93.019	1.5142	0.17373
549.75	93.010	1.5129	0.17381
550.72	92.950	1.5141	0.17493
551.68	92.940	1.5123	0.17511
552.65	92.881	1.5132	0.17624
553.61	92.871	1.5118	0.17638
554.57	92.869	1.5108	0.17624
555.54	92.818	1.5119	0.17713
556.50	92.800	1.5098	0.17756
557.47	92.790	1.5108	0.17738
558.43	92.781	1.5094	0.17749
559.40	92.721	1.5108	0.17857
560.36	92.662	1.5083	0.18010
561.33	92.702	1.5093	0.17863
562.29	92.642	1.5079	0.18006
563.26	92.583	1.5083	0.18122
564.22	92.615	1.5069	0.18026
565.18	92.613	1.5063	0.18008
566.15	92.562	1.5079	0.18089
567.11	92.502	1.5057	0.18241
568.08	92.534	1.5068	0.18114
569.04	92.475	1.5052	0.18254
570.01	92.465	1.5065	0.18233
570.97	92.405	1.5046	0.18381
571.94	92.396	1.5052	0.18365
572.90	92.428	1.5048	0.18257
573.86	92.326	1.5041	0.18497
574.83	92.317	1.5049	0.18478
575.79	92.307	1.5033	0.18494
576.76	92.239	1.5044	0.18621
577.72	92.229	1.5022	0.18644
578.69	92.220	1.5034	0.18621
579.65	92.210	1.5019	0.18634
580.62	92.151	1.5032	0.18736
581.58	92.133	1.5022	0.18765
582.54	92.123	1.5013	0.18770
583.51	92.063	1.5027	0.18873
584.47	92.054	1.5007	0.18890
585.44	92.036	1.5023	0.18883
586.40	91.976	1.5007	0.19025
587.37	91.958	1.5020	0.19022
588.33	91.899	1.5001	0.19164
589.30	91.889	1.5012	0.19144
590.26	91.871	1.5006	0.19165
591.22	91.803	1.4998	0.19315
592.19	91.744	1.5006	0.19421
593.15	91.734	1.4981	0.19449
594.12	91.758	1.4994	0.19339
595.08	91.740	1.4986	0.19364
596.05	91.630	1.5001	0.19587
597.01	91.621	1.4978	0.19609
597.98	91.603	1.4993	0.19601
598.94	91.527	1.4983	0.19772
599.90	91.517	1.4969	0.19785
600.87	91.499	1.4984	0.19777
601.83	91.440	1.4966	0.19916
602.80	91.430	1.4981	0.19889
603.76	91.354	1.4962	0.20072
604.73	91.336	1.4972	0.20071
605.69	91.318	1.4953	0.20110
606.66	91.300	1.4971	0.20098
607.62	91.233	1.4955	0.20252
608.59	91.157	1.4965	0.20394
609.55	91.147	1.4949	0.20409
610.51	91.145	1.4938	0.20397
611.48	91.128	1.4957	0.20380
612.44	91.060	1.4943	0.20534
613.41	90.984	1.4956	0.20671
614.37	90.966	1.4934	0.20714
615.34	90.906	1.4947	0.20811
616.30	90.896	1.4926	0.20831
617.27	90.829	1.4940	0.20944
618.23	90.811	1.4928	0.20972
619.19	90.751	1.4916	0.21104
620.16	90.741	1.4927	0.21079
621.12	90.724	1.4912	0.21110
622.09	90.656	1.4931	0.21216
623.05	90.580	1.4909	0.21400
624.02	90.554	1.4921	0.21413
624.98	90.494	1.4897	0.21561
625.95	90.493	1.4911	0.21510
626.91	90.425	1.4902	0.21654
627.87	90.365	1.4887	0.21790
628.84	90.355	1.4900	0.21762
629.80	90.288	1.4878	0.21923
630.77	90.270	1.4891	0.21914
631.73	90.202	1.4868	0.22080
632.70	90.192	1.4880	0.22052
633.66	90.174	1.4862	0.22089
634.63	90.098	1.4879	0.22214
635.59	90.039	1.4865	0.22344
636.55	90.021	1.4852	0.22374
637.52	89.953	1.4865	0.22484
638.48	89.927	1.4841	0.22550
639.45	89.909	1.4858	0.22533
640.41	89.841	1.4839	0.22692
641.38	89.773	1.4852	0.22802
642.34	89.755	1.4829	0.22846
643.31	89.688	1.4846	0.22947
644.27	89.620	1.4820	0.23116
645.24	89.602	1.4832	0.23106
646.20	89.534	1.4820	0.23254
647.16	89.508	1.4806	0.23304
648.13	89.440	1.4822	0.23408
649.09	89.372	1.4794	0.23579
650.06	89.354	1.4807	0.23567
651.02	89.287	1.4784	0.23729
651.99	89.219	1.4794	0.23842
652.95	89.201	1.4765	0.23896
653.92	89.175	1.4778	0.23902
654.88	89.157	1.4770	0.23923
655.84	89.039	1.4756	0.24192
656.81	89.021	1.4767	0.24182
657.77	88.945	1.4740	0.24371
658.74	88.919	1.4753	0.24378
659.70	88.843	1.4725	0.24570
660.67	88.825	1.4734	0.24561
661.63	88.807	1.4711	0.24607
662.60	88.740	1.4728	0.24703
663.56	88.672	1.4700	0.24875
664.53	88.654	1.4713	0.24860
665.49	88.586	1.4701	0.25006
666.45	88.518	1.4685	0.25159
667.42	88.442	1.4696	0.25285
668.38	88.374	1.4662	0.25468
669.35	88.356	1.4668	0.25463
670.31	88.339	1.4639	0.25517
671.28	88.321	1.4656	0.25494
672.24	88.245	1.4631	0.25679
673.21	88.169	1.4642	0.25806
674.17	88.143	1.4624	0.25861
675.13	88.066	1.4604	0.26041
676.10	88.040	1.4615	0.26049
677.06	87.973	1.4583	0.26224
678.03	87.955	1.4596	0.26208
678.99	87.870	1.4565	0.26425
679.96	87.836	1.4575	0.26453
680.92	87.765	1.4538	0.26647
681.89	87.772	1.4545	0.26581
682.85	87.778	1.4532	0.26551
683.81	87.685	1.4518	0.26759
684.78	87.592	1.4525	0.26930
685.74	87.598	1.4491	0.26937
686.71	87.505	1.4501	0.27103
687.67	87.512	1.4467	0.27108
688.64	87.418	1.4476	0.27278
689.60	87.425	1.4436	0.27292
690.57	87.431	1.4451	0.27214
691.53	87.338	1.4433	0.27429
692.49	87.345	1.4411	0.27411
693.46	87.251	1.4423	0.27577
694.42	87.258	1.4388	0.27582
695.39	87.164	1.4398	0.27749
696.35	87.171	1.4360	0.27762
697.32	87.178	1.4377	0.27677
698.28	87.084	1.4350	0.27910
699.25	86.991	1.4355	0.28083
700.21	86.997	1.4313	0.28104
701.18	87.004	1.4327	0.28025
702.14	86.911	1.4306	0.28243
703.10	86.917	1.4282	0.28233
704.07	86.824	1.4291	0.28400
705.03	86.830	1.4250	0.28420
706.00	86.837	1.4264	0.28338
706.96	86.744	1.4230	0.28581
707.93	86.750	1.4240	0.28511
708.89	86.657	1.4216	0.28735
709.85	86.663	1.4185	0.28737
710.82	86.670	1.4199	0.28656
711.78	86.577	1.4163	0.28902
712.75	86.583	1.4172	0.28834
713.71	86.490	1.4128	0.29094
714.68	86.596	1.4137	0.28786
715.64	86.503	1.4107	0.29022
716.61	86.510	1.4120	0.28944
717.57	86.416	1.4083	0.29194
718.54	86.423	1.4087	0.29130
719.50	86.429	1.4068	0.29111
720.46	86.336	1.4043	0.29337
721.43	86.343	1.4048	0.29272
722.39	86.349	1.4016	0.29277
723.36	86.256	1.4027	0.29438
724.32	86.263	1.3989	0.29450
725.29	86.169	1.3996	0.29621
