# This data was collected and compiled at the NASA/Ames Research Center, Moffett Field, CA.  Any use of this data should recognize the parent publication:

# D.M. Hudgins, S.A. Sandford, L.J. Allamandola, and A.G.G.M. Tielens, "Mid- and Far-Infrared Spectroscopy of Ices: Optical Constants and Integrated Absorbances", The Astrophysical Journal Supplement Series, 86, no. 2, p. 713-870, 1993

# Interstellar mix - 10 K - H2O:CH3OH:CO:NH3 = 100:10:1:1
# http://www.astrochem.org/data/ISMix.php

Freq.	%T,10K	n, 10K	k, 10K
#(cm-1)
448.48	89.935	1.6497	0.13655
449.45	89.894	1.6511	0.13725
450.41	89.836	1.6506	0.13868
451.38	89.762	1.6521	0.14031
452.34	89.687	1.6516	0.14220
453.30	89.646	1.6511	0.14311
454.27	89.572	1.6525	0.14474
455.23	89.514	1.6513	0.14621
456.20	89.440	1.6523	0.14788
457.16	89.415	1.6510	0.14843
458.13	89.357	1.6524	0.14957
459.09	89.332	1.6519	0.15003
460.06	89.225	1.6536	0.15251
461.02	89.167	1.6530	0.15389
461.98	89.093	1.6523	0.15574
462.95	89.052	1.6536	0.15640
463.91	88.978	1.6524	0.15830
464.88	88.920	1.6537	0.15942
465.84	88.846	1.6522	0.16135
466.81	88.804	1.6533	0.16204
467.77	88.763	1.6523	0.16299
468.74	88.689	1.6539	0.16449
469.70	88.615	1.6526	0.16640
470.67	88.557	1.6537	0.16751
471.63	88.515	1.6534	0.16838
472.59	88.425	1.6529	0.17060
473.56	88.351	1.6541	0.17215
474.52	88.276	1.6521	0.17415
475.49	88.251	1.6532	0.17432
476.45	88.194	1.6520	0.17571
477.42	88.119	1.6536	0.17721
478.38	88.045	1.6519	0.17914
479.35	87.987	1.6530	0.18021
480.31	87.930	1.6522	0.18154
481.27	87.872	1.6513	0.18290
482.24	87.814	1.6527	0.18392
483.20	87.740	1.6511	0.18582
484.17	87.682	1.6525	0.18684
485.13	87.608	1.6508	0.18875
486.10	87.534	1.6520	0.19022
487.06	87.460	1.6497	0.19221
488.03	87.435	1.6508	0.19235
488.99	87.360	1.6500	0.19415
489.95	87.319	1.6490	0.19503
490.92	87.228	1.6503	0.19693
491.88	87.171	1.6481	0.19844
492.85	87.113	1.6492	0.19947
493.81	87.072	1.6473	0.20049
494.78	86.997	1.6486	0.20193
495.74	86.940	1.6465	0.20343
496.71	86.882	1.6476	0.20442
497.67	86.824	1.6454	0.20596
498.64	86.783	1.6467	0.20647
499.60	86.708	1.6455	0.20829
500.56	86.667	1.6441	0.20922
501.53	86.609	1.6453	0.21019
502.49	86.568	1.6433	0.21122
503.46	86.494	1.6446	0.21260
504.42	86.452	1.6424	0.21369
505.39	86.394	1.6438	0.21463
506.35	86.337	1.6427	0.21593
507.31	86.263	1.6413	0.21775
508.28	86.221	1.6424	0.21829
509.24	86.163	1.6401	0.21981
510.21	86.106	1.6412	0.22074
511.17	86.064	1.6388	0.22186
512.14	86.023	1.6402	0.22230
513.10	85.965	1.6380	0.22381
514.07	85.907	1.6393	0.22473
515.03	85.866	1.6370	0.22580
516.00	85.808	1.6383	0.22671
516.96	85.767	1.6371	0.22758
517.92	85.709	1.6358	0.22893
518.89	85.651	1.6371	0.22983
519.85	85.593	1.6345	0.23140
520.82	85.568	1.6359	0.23139
521.78	85.510	1.6338	0.23288
522.75	85.453	1.6353	0.23371
523.71	85.395	1.6328	0.23526
524.68	85.354	1.6341	0.23570
525.64	85.312	1.6330	0.23657
526.60	85.254	1.6317	0.23791
527.57	85.197	1.6332	0.23872
528.53	85.155	1.6309	0.23980
529.50	85.114	1.6333	0.24002
530.46	84.932	1.6306	0.24491
531.43	84.916	1.6308	0.24486
532.39	84.884	1.6278	0.24579
533.36	84.826	1.6287	0.24672
534.32	84.852	1.6263	0.24601
535.29	84.736	1.6280	0.24834
536.25	84.712	1.6264	0.24882
537.21	84.596	1.6239	0.25189
538.18	84.631	1.6241	0.25046
539.14	84.648	1.6219	0.24996
540.11	84.582	1.6240	0.25087
541.07	84.533	1.6215	0.25218
542.04	84.509	1.6233	0.25202
543.00	84.394	1.6218	0.25488
543.96	84.370	1.6192	0.25554
544.93	84.396	1.6207	0.25413
545.89	84.338	1.6185	0.25561
546.86	84.314	1.6203	0.25545
547.82	84.248	1.6179	0.25717
548.79	84.224	1.6195	0.25704
549.75	84.167	1.6171	0.25854
550.72	84.143	1.6189	0.25837
551.68	84.077	1.6166	0.26007
552.65	84.003	1.6178	0.26132
553.61	83.987	1.6159	0.26164
554.57	84.005	1.6150	0.26089
555.54	83.889	1.6171	0.26307
556.50	83.832	1.6137	0.26473
557.47	83.874	1.6155	0.26283
558.43	83.758	1.6131	0.26585
559.40	83.784	1.6148	0.26439
560.36	83.719	1.6129	0.26599
561.33	83.645	1.6146	0.26712
562.29	83.629	1.6120	0.26757
563.26	83.555	1.6137	0.26869
564.22	83.539	1.6125	0.26889
565.18	83.465	1.6110	0.27062
566.15	83.441	1.6128	0.27045
567.11	83.367	1.6098	0.27247
568.08	83.410	1.6120	0.27047
569.04	83.294	1.6100	0.27339
570.01	83.270	1.6119	0.27318
570.97	83.204	1.6095	0.27487
571.94	83.130	1.6110	0.27603
572.90	83.114	1.6094	0.27629
573.86	83.090	1.6081	0.27669
574.83	83.025	1.6102	0.27748
575.79	83.001	1.6078	0.27810
576.76	82.927	1.6099	0.27912
577.72	82.903	1.6075	0.27974
578.69	82.837	1.6099	0.28049
579.65	82.771	1.6074	0.28220
580.62	82.697	1.6089	0.28333
581.58	82.723	1.6082	0.28233
582.54	82.558	1.6068	0.28637
583.51	82.584	1.6084	0.28491
584.47	82.510	1.6062	0.28676
585.44	82.427	1.6081	0.28803
586.40	82.412	1.6053	0.28849
587.37	82.346	1.6077	0.28922
588.33	82.272	1.6050	0.29118
589.30	82.240	1.6069	0.29113
590.26	82.166	1.6057	0.29279
591.22	82.142	1.6042	0.29321
592.19	82.068	1.6067	0.29410
593.15	81.986	1.6041	0.29625
594.12	81.912	1.6057	0.29732
595.08	81.896	1.6026	0.29787
596.05	81.872	1.6054	0.29742
597.01	81.748	1.6029	0.30060
597.98	81.716	1.6047	0.30055
598.94	81.642	1.6034	0.30220
599.90	81.610	1.6022	0.30279
600.87	81.486	1.6042	0.30502
601.83	81.462	1.6011	0.30580
602.80	81.388	1.6031	0.30675
603.76	81.356	1.6003	0.30765
604.73	81.273	1.6026	0.30879
605.69	81.249	1.6001	0.30943
606.66	81.125	1.6024	0.31156
607.62	81.060	1.5990	0.31345
608.59	81.036	1.6009	0.31315
609.55	80.953	1.5995	0.31504
610.51	80.913	1.5978	0.31593
611.48	80.847	1.6001	0.31660
612.44	80.782	1.5971	0.31839
613.41	80.749	1.5996	0.31818
614.37	80.667	1.5974	0.32022
615.34	80.535	1.5994	0.32260
616.30	80.503	1.5960	0.32365
617.27	80.429	1.5982	0.32453
618.23	80.355	1.5966	0.32622
619.19	80.273	1.5944	0.32827
620.16	80.249	1.5965	0.32791
621.12	80.175	1.5936	0.32989
622.09	80.101	1.5960	0.33072
623.05	80.027	1.5928	0.33278
624.02	79.961	1.5951	0.33341
624.98	79.871	1.5916	0.33594
625.95	79.847	1.5939	0.33552
626.91	79.723	1.5923	0.33849
627.87	79.699	1.5901	0.33906
628.84	79.625	1.5926	0.33983
629.80	79.543	1.5895	0.34209
630.77	79.461	1.5917	0.34311
631.73	79.387	1.5883	0.34524
632.70	79.313	1.5905	0.34607
633.66	79.239	1.5870	0.34821
634.63	79.156	1.5888	0.34935
635.59	79.132	1.5872	0.34979
636.55	79.000	1.5851	0.35308
637.52	78.976	1.5870	0.35269
638.48	78.894	1.5838	0.35498
639.45	78.812	1.5861	0.35597
640.41	78.738	1.5825	0.35814
641.38	78.656	1.5847	0.35914
642.34	78.574	1.5809	0.36158
643.31	78.500	1.5827	0.36248
644.27	78.468	1.5789	0.36364
645.24	78.394	1.5813	0.36438
646.20	78.311	1.5796	0.36634
647.16	78.229	1.5772	0.36842
648.13	78.155	1.5794	0.36922
649.09	78.073	1.5755	0.37168
650.06	77.991	1.5773	0.37276
651.02	77.967	1.5735	0.37374
651.99	77.885	1.5763	0.37458
652.95	77.761	1.5722	0.37816
653.92	77.737	1.5740	0.37776
654.88	77.655	1.5723	0.37969
655.84	77.564	1.5699	0.38202
656.81	77.482	1.5720	0.38300
657.77	77.400	1.5679	0.38554
658.74	77.318	1.5699	0.38655
659.70	77.236	1.5653	0.38921
660.67	77.212	1.5672	0.38876
661.63	77.138	1.5634	0.39102
662.60	77.064	1.5658	0.39173
663.56	76.982	1.5617	0.39426
664.53	76.899	1.5638	0.39528
665.49	76.825	1.5614	0.39718
666.45	76.743	1.5583	0.39946
667.42	76.711	1.5605	0.39915
668.38	76.629	1.5565	0.40165
669.35	76.555	1.5591	0.40229
670.31	76.431	1.5546	0.40602
671.28	76.399	1.5566	0.40573
672.24	76.308	1.5524	0.40855
673.21	76.226	1.5544	0.40953
674.17	76.152	1.5518	0.41151
675.13	76.112	1.5492	0.41260
676.10	75.980	1.5515	0.41480
677.06	75.964	1.5471	0.41574
678.03	75.824	1.5498	0.41801
678.99	75.759	1.5452	0.42029
679.96	75.668	1.5480	0.42129
680.92	75.526	1.5433	0.42556
681.89	75.436	1.5449	0.42684
682.85	75.346	1.5418	0.42935
683.81	75.255	1.5382	0.43204
684.78	75.165	1.5398	0.43331
685.74	75.075	1.5342	0.43653
686.71	74.985	1.5352	0.43797
687.67	74.995	1.5296	0.43863
688.64	74.905	1.5319	0.43968
689.60	74.814	1.5266	0.44287
690.57	74.724	1.5280	0.44419
691.53	74.634	1.5238	0.44704
692.49	74.644	1.5195	0.44734
693.46	74.554	1.5211	0.44862
694.42	74.564	1.5156	0.44926
695.39	74.473	1.5180	0.45031
696.35	74.383	1.5122	0.45364
697.32	74.393	1.5146	0.45209
698.28	74.203	1.5090	0.45794
699.25	74.213	1.5101	0.45674
700.21	74.123	1.5046	0.46000
701.18	74.033	1.5054	0.46149
702.14	74.042	1.5015	0.46170
703.10	73.952	1.4972	0.46463
704.07	73.962	1.4988	0.46330
705.03	73.872	1.4929	0.46666
706.00	73.882	1.4948	0.46522
706.96	73.792	1.4897	0.46838
707.93	73.701	1.4914	0.46966
708.89	73.611	1.4870	0.47260
709.85	73.621	1.4824	0.47303
710.82	73.531	1.4838	0.47436
711.78	73.541	1.4776	0.47524
712.75	73.451	1.4791	0.47651
713.71	73.460	1.4730	0.47739
714.68	73.370	1.4746	0.47864
715.64	73.380	1.4686	0.47946
716.61	73.290	1.4708	0.48055
717.57	73.200	1.4641	0.48423
718.54	73.210	1.4651	0.48301
719.50	73.119	1.4610	0.48594
720.46	73.129	1.4563	0.48642
721.43	73.039	1.4574	0.48781
722.39	73.049	1.4503	0.48898
723.36	73.059	1.4522	0.48751
724.32	72.969	1.4459	0.49108
725.29	72.979	1.4474	0.48972
